Name,Search Keyword,Resource Path,Groups
cocoa framework,cocoa framework,skill/cocoa framework.html,[application programming interface][go][ios][macos][games][user interface]
cocoa touch,cocoa touch,skill/cocoa touch.html,[microsoft][ios][windows][macos][model view controller][user interface][apple]
cocos2d,cocos2d,skill/cocos2d.html,[games][game development][application programming interface]
code commit,code commit,skill/code commit.html,[amazon][version control]
codebuild,codebuild,skill/codebuild.html,[cloud][amazon][continuous integration][devops]
codedeploy,codedeploy,skill/codedeploy.html,[monitoring][web][amazon][serverless][devops]
codeigniter,codeigniter,skill/codeigniter.html,[database][php][android]
codelgniter,codelgniter,skill/codelgniter.html,[web][php]
codepipeline,codepipeline,skill/codepipeline.html,[infrastructure][amazon][continuous delivery]
codepush,codepush,skill/codepush.html,[html][mobile][javascript][css][microsoft][react][cloud]
cognito,cognito,skill/cognito.html,[web service][mobile][testing][web][amazon]
cognos tm1,cognos tm1,skill/cognos tm1.html,[database][ibm]
commons,commons,skill/commons.html,[web][java][apache]
component,component,skill/component.html,[javascript][design pattern][java][web][model view controller][programming]
composer,composer,skill/composer.html,[python][programming][php]
computer vision,computer vision,skill/computer vision.html,[neural networks][machine learning][python][network][analytics][artificial intelligence][computer vision]
conan,conan,skill/conan.html,[c++][kubernetes][dependencies]
concurrency,concurrency,skill/concurrency.html,[distributed][java][programming][artificial intelligence]
consul,consul,skill/consul.html,[devops][network][infrastructure][distributed][cloud]
container linux,container linux,skill/container linux.html,[security][linux][operating system][web][red hat]
container,container,skill/container.html,[testing][devops][google][web][cloud][dependencies]
containerization,containerization,skill/containerization.html,[security][virtual machine][cloud][red hat][ibm][infrastructure][amazon][microservice]
control m,control m,skill/control m.html,[web][application programming interface]
corda,corda,skill/corda.html,[blockchain][java]
cordova,cordova,skill/cordova.html,[html][web application][mobile][css][javascript][apache][web]
core animation,core animation,skill/core animation.html,[macos][apple][ios]
core data,core data,skill/core data.html,[machine learning][ios][analytics][data management][artificial intelligence]
coredns,coredns,skill/coredns.html,[go][kubernetes]
coreos,coreos,skill/coreos.html,[linux][infrastructure][operating system][cloud]
corona,corona,skill/corona.html,[mobile][android][cross platform][games][game development][web][amazon][apple]
coroutines,coroutines,skill/coroutines.html,[programming][android]
cosmodb,cosmodb,skill/cosmodb.html,[nosql][microsoft][database][azure][distributed]
couchbase,couchbase,skill/couchbase.html,[security][mobile][database][distributed][cloud][json][nosql][data management][artificial intelligence]
couchdb,couchdb,skill/couchdb.html,[ibm][javascript][apache][query language][database][nosql][json]
cpanel,cpanel,skill/cpanel.html,[web]
cplex,cplex,skill/cplex.html,[.net][java][ibm][c++][programming]
crashlytics,crashlytics,skill/crashlytics.html,[mobile]
creational,creational,skill/creational.html,[design pattern][java]
crystal,crystal,skill/crystal.html,[web][go][programming]
css,css,skill/css.html,[html][css][web]
csv,csv,skill/csv.html,[machine learning][google][artificial intelligence][data science]
cucumber,cucumber,skill/cucumber.html,[behavior driven development][java]
cuda,cuda,skill/cuda.html,[nvidia][application programming interface][c++][programming]
cuquantum,cuquantum,skill/cuquantum.html,[software development kit][nvidia][network][quantum][google][cloud]
cxf,cxf,skill/cxf.html,[xml][apache][frontend][programming][dependencies][web service][protocol][application programming interface][web]
cypress,cypress,skill/cypress.html,[application programming interface][javascript][testing][web][cloud]
d,d,skill/d.html,[web][programming]
d3,d3,skill/d3.html,[html][javascript][css][web][visualization]
dagger,dagger,skill/dagger.html,[java][android][dependencies]
dapper,dapper,skill/dapper.html,[web][application programming interface][.net]
dart,dart,skill/dart.html,[programming][javascript][google]
dask,dask,skill/dask.html,[python][machine learning][apache][programming][distributed][big data][data science][spark]
data analysis,data analysis,skill/data analysis.html,[python][go][microsoft][analytics][data analytics][programming][data science]
data extraction,data extraction,skill/data extraction.html,[web][cloud]
data manpulation,data manpulation,skill/data manpulation.html,[machine learning][python][microsoft][analytics][data analytics][programming][data science]
data mart,data mart,skill/data mart.html,[ibm][cloud][microsoft][oracle][database][data warehouse]
data mining,data mining in tech,skill/data mining.html,[unknown]
data modeling,data modeling,skill/data modeling.html,[security][microsoft][ibm][data management][data structures]
data structure,data structure,skill/data structure.html,[python][c++][programming][data structures]
data visualization,data visualization,skill/data visualization.html,[python][google][windows][programming][virtual machine][visualization]
database sharding,database sharding,skill/database sharding.html,[database][system design]
databricks,databricks,skill/databricks.html,[data processing][spark][storage][apache][amazon][big data][cloud]
datadog,datadog,skill/datadog.html,[microsoft][monitoring][analytics][infrastructure][azure][cloud]
dataflow,dataflow,skill/dataflow.html,[data processing][machine learning][python][java][apache][data analytics][serverless][go][google][analytics]
dataframe,dataframe,skill/dataframe.html,[python][application programming interface]
datagrip,datagrip,skill/datagrip.html,[analytics][storage][microsoft][apache][oracle][database][data analytics]
dataiku,dataiku,skill/dataiku.html,[machine learning][network][big data][data science]
datalake,datalake,skill/datalake.html,[machine learning][data lake][storage][google][analytics][amazon][cloud]
datalore,datalore,skill/datalore.html,[machine learning][python][data science][visualization]
dataproc,dataproc,skill/dataproc.html,[data processing][apache][serverless][big data][cloud][google][hadoop][spark]
datarobot,datarobot,skill/datarobot.html,[artificial intelligence]
dataset,dataset,skill/dataset.html,[analytics][machine learning][application programming interface][microsoft]
datastage,datastage,skill/datastage.html,[cloud][ibm]
datastax,datastax,skill/datastax.html,[artificial intelligence]
datawrapper,datawrapper,skill/datawrapper.html,[visualization]
datax,datax,skill/datax.html,[data processing][artificial intelligence][database][web][data management][big data][data science]
dax,dax,skill/dax.html,[microsoft]
db2,db2,skill/db2.html,[storage][unix][windows][database][json][ibm][linux][data management]
dbaas,dbaas,skill/dbaas.html,[security][database management system][nosql][ibm][database][cloud computing][cloud]
dbeaver,dbeaver,skill/dbeaver.html,[database][storage]
dbms,dbms,skill/dbms.html,[database management system][oracle][database][relational database]
dds,dds,skill/dds.html,[distributed][machine learning][python][google][programming][artificial intelligence][data science]
debian,debian,skill/debian.html,[security][unix][linux][operating system][web]
decorator,decorator,skill/decorator.html,[web development][design pattern][java][web]
decrypt,decrypt,skill/decrypt.html,[html][python][javascript][testing][java][programming]
deepface,deepface,skill/deepface.html,[python][google]
delphi,delphi,skill/delphi.html,[mobile][integrated development environment][web][programming]
delta lake,delta lake,skill/delta lake.html,[data processing][storage][java][microsoft][apache][web][azure][spark]
deno,deno,skill/deno.html,[security][javascript][testing][web]
dependency injection,dependency injection,skill/dependency injection.html,[design pattern][java][web][dependencies]
derby,derby,skill/derby.html,[java][apache][database][relational database]
deserialization,deserialization,skill/deserialization.html,[network][java][programming][json]
design pattern,design pattern,skill/design pattern.html,[programming][design pattern][java]
devexpress,devexpress,skill/devexpress.html,[web][javascript]
dhcp,dhcp,skill/dhcp.html,[protocol][network][windows]
dhtml,dhtml,skill/dhtml.html,[html][css][javascript][markup language][web]
digitalocean,digitalocean,skill/digitalocean.html,[python][programming][virtual machine][cloud][infrastructure][application programming interface][javascript][go][react][php]
directx,directx,skill/directx.html,[microsoft][windows][c++][programming]
distributed systems,distributed systems,skill/distributed systems.html,[system design][distributed]
django rest,django rest,skill/django rest.html,[web][python][application programming interface][red hat]
django,django,skill/django.html,[web][python][network][web framework]
dl4j,dl4j,skill/dl4j.html,[python][network][java][deep learning]
dlp,dlp,skill/dlp.html,[security][microsoft][cloud]
docker compose,docker compose,skill/docker compose.html,[network]
docker swarm,docker swarm in tech,skill/docker swarm.html,[unknown]
docker,docker,skill/docker.html,[java][dependencies][windows][linux][devops][kubernetes]
document database,document database,skill/document database.html,[database][nosql][json]
document databaset,document databaset,skill/document databaset.html,[storage][database][nosql][json]
documentdb,documentdb,skill/documentdb.html,[database][amazon][cloud][json]
dom,dom,skill/dom.html,[html][xml][markup language][javascript][application programming interface][web][programming]
domain name system,domain name system,skill/domain name system.html,[web]
domo,domo,skill/domo.html,[visualization][mobile][cloud]
dotnetnuke,dotnetnuke,skill/dotnetnuke.html,[web][programming][.net][microsoft]
doxia,doxia,skill/doxia.html,[web][application programming interface][apache]
dremio,dremio,skill/dremio.html,[azure][data lake][cloud][storage][microsoft][analytics][amazon][data warehouse]
drill,drill,skill/drill.html,[big data][apache]
drools,drools,skill/drools.html,[testing][web][programming][dependencies]
drs,drs,skill/drs.html,[application programming interface][storage][database][relational database][amazon][cloud]
druid,druid,skill/druid.html,[database][apache][analytics][real time analytics][distributed][cloud]
drupal,drupal,skill/drupal.html,[php]
druva,druva,skill/druva.html,[security]
dubbo,dubbo,skill/dubbo.html,[xml][application programming interface][apache][microservice][distributed]
durandaljs,durandaljs,skill/durandaljs.html,[web][javascript]
dynamics,dynamics,skill/dynamics.html,[microsoft]
dynamodb,dynamodb,skill/dynamodb.html,[security][nosql][database][amazon][cloud]
dynatrace,dynatrace,skill/dynatrace.html,[security][analytics][infrastructure][artificial intelligence][monitoring]
easeus,easeus,skill/easeus.html,[web]
ebs,ebs,skill/ebs.html,[amazon][storage][cloud]
ec2,ec2,skill/ec2.html,[java][apache][cloud computing][virtual machine][cloud][web server][web service][linux][amazon][php][web]
ecmascript,ecmascript,skill/ecmascript.html,[web][web development][javascript]
ecs,ecs,skill/ecs.html,[web service][windows][web][amazon]
efs,efs,skill/efs.html,[security][microsoft][windows]
eg innovations,eg innovations,skill/eg innovations.html,[monitoring]
ehcache,ehcache,skill/ehcache.html,[xml][java][dependencies]
eigrp,eigrp,skill/eigrp.html,[cisco][protocol][network]
ejb,ejb,skill/ejb.html,[java][oracle][distributed][dependencies]
eks,eks,skill/eks.html,[security][web service][web][amazon][kubernetes]
elastalert,elastalert,skill/elastalert.html,[monitoring]
elastic apm,elastic apm,skill/elastic apm.html,[database][cloud][monitoring]
elastic bean stalk,elastic bean stalk,skill/elastic bean stalk.html,[python][java][cloud][devops][web service][application programming interface][web][infrastructure][amazon]
elastic,elastic,skill/elastic.html,[cloud computing][apache][analytics][azure][distributed][cloud]
elasticache,elasticache,skill/elasticache.html,[web][web service][amazon]
elasticcache,elasticcache,skill/elasticcache.html,[web service][web][infrastructure][amazon][cloud]
elasticip,elasticip,skill/elasticip.html,[web service][devops][web][amazon][cloud]
elasticsearch,elasticsearch,skill/elasticsearch.html,[security][storage][database][distributed][json][data structures][analytics][nosql][monitoring][web]
elb,elb,skill/elb.html,[cloud computing][amazon][distributed][cloud]
electron,electron,skill/electron.html,[css][macos][windows][cross platform][programming][html][javascript][linux][web]
