Name,skills
linux,[ubuntu][fedora][podman][centos][awk][lxc][openvz][shadowprotect][container linux][windows][network monitoring][cross platform][open vpn][nfs][linux][filezilla][squid proxy][nixos][coreos][network montioring][tcpflow][red hat][debian][icinga][hyperledger][oracle linux][observium]
xml,[soap][xpath][xslt][fiddler][xerces][synapse][xml][wsdl][xmlrpc][xsd][xalan][xsl][cacoon][xhtml][axiom]
node.js,[axios][nestjs][sockets][koajs][node.js][sailsjs][jade template][fastify][postcss][heron]
data science,[datalore][fabric][azkaban][neo4j][pinpoint][data science]
game,[game development][cocos2d][babylon.js][rpg maker][playcanvas][unity][ip address][godot][unreal engine][fmod][microsoft game developer kit]
html,[bootstrap][qpid][backend][word][dhtml][semantic ui][fullstack][web framework][cloudfront][tauri][markdown][http][markup language][foundation][html]
scripting,[casperjs][bash scripting][vb script][loadrunner][tcl][shell script][ecmascript]
c++,[boost][oracle c][glm][xgboost][bazel][c++][bullet][mfc][raii][opennn][qt][faiss][resharper c++]
php,[behat][phpspec][laravel][symfony][zend][php][phpunit][magento][drupal][phpstorm][composer][cakephp][codeigniter][codelgniter]
c#,[nunit][mstest][uno platform][blazor][linq]
computer vision,[viso suite][boofcv][computer vision][skimage][opencv][simplecv]
web application,[brooklyn][w3af][gwt][expressjs][grails][express][jsf][web application][play][wicket]
unix,[unix][posix][storage][hpux][nuttx][bsd][os]
deep learning,[tensorrt][dl4j][cnn][caffe][singa][cntk][chainer][mxnet][deep learning]
data management,[gemfire][calcite][whatgraph][udb][validata qs][db2][sas][iotdb][epm][core data][data management]
data visualization,[datawrapper][chartblocks][data visualization][infogram][viz][visualization][ggplot][spotfire]
google cloud,[cloud sql][google kubernetes engine][container][cloud dataprep][pub sub][google cloud storage][gke][google cloud][cloud tasks][cloud build][google cloud monitoring]
reliability,[solaris][reliability][easeus][iceberg][linkerd][sysdig][rocketmq][flume][glusterfs][cloudflare][load balancer]
wordpress,[domain name system][wpbakery][wordpress][mailgun][elementor][cpanel]
data analysis,[data manpulation][spss][exploratory data analysis][power bi][dax][data analysis]
r,[tidyverse][rvest][sparkr][r][data mining][r shiny][r-drive image]
data structures,[data modeling][pandas]
data processing,[oozie][data processing][logz.io][parquet][sap][orc][logstash][kapacitor]
machine learning,[fsx][lightgbm][kubeflow][kaggle][pytorch][systemds][text analysis][h2o][mlib][knn][pybrain][torch][x-pack][machine learning algorithms][dataiku][spark][ibm watson][machine learning][scikit][weka][mahout][neural networks][statistical analysis][sagemaker]
apache spark,[pr][spark streaming][dataproc][sparkml]
data integration,[datastage][informatica][etl][pentaho][kafka][streamsets][talend][extract transform load]
virtual machine,[vagrant][oracle virtual machine][virtual machine][kvm][packer][digitalocean]
distributed systems,[eventbus][nats][zookeeper][distributed][etcd][hysterix]
mongodb,[mongodb atlas][documentdb]
visualization,[domo][mdl][physx][sap bi][kibana][netcrunch][jmp][superset][stata][instana][gephi]
maven,[myface][sonatype nexus][ehcache][ejb][drools][doxia][maven]
spring,[scimple][spring reactor][spring boot][dubbo][spring gateway][spring integration][spring aop][spring security][spring web][spring jpa][spring transaction management][spring][spring mvc][spring data][spring batch][spring cloud][signoz]
elasticsearch,[elk][elasticsearch][metricbeat][elastalert][security onion][filebeat][elastic]
microservices,[envoy][microservice][zipkin][sqs][pubsub+][microservices]
js,[extjs][vanillajs][redux-saga]
typescript,[typescript][inversify][featherjs]
ruby,[ruby][ruby on rails][gemnasium][rspec][jruby]
redis,[memorydb][in memory database][memorystore][redis]
time series,[opentsdb][timestream][influxdb][tick stack][time series][prometheus][kdb][timescaledb][rnn][predictive modeling]
junit,[junit][junit jupiter]
kotlin,[koin][rxkotlin][ktor][kotlin]
reactive,[vert.x][rxjava][lagom][reactivecocoa][reactivex][lit][mobx][realm]
visual studio,[visual studio][mircosoft visual code][sonarlint][mircosoft visual studio][vsts]
mysql,[percona xtradb][opencart][stitch data][mysql]
natural language processing,[transformers][openai][natural language processing][spacy]
design patterns,[ooad]
red hat,[rhel][red hat fuse][ovirt][openshift]
rust,[rust][rustover]
tensorflow,[tfx][tensorflow quantum][tensorflow]
